APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
RBE,BVSP,,FIX_SWAP,CLSITTRD,,BVSP_ROUTER,ADR,,10
IEDALGO,BXS-OC,,FIX_BXS,CLSITTRD,,BXS,STOCK,FIX,518357
RBE_PREBCHMK,BXS-OC,,,CLSITTRD,IED,BXS,STOCK,FIX,1692
CARBON,RBE_PREBCHMK,,CARBON,LIQUIDRATES,FID,BXS,FUTURE,,176
CSOM,CSOM,,FIX_BXS,CLSITTRD,IED,BXS_AU,OPTION,FIX,8
RAZER,RBE,,FIX_BXS,CLSITTRD,,BXS_TH,STOCK,FIX,3086
SORT,CPK,BYX2,FIX_SWAP,CLSITTRD,,BYX,STOCK,FIX,91810
SORT,BYXX,UNKNOWN,CG_DMA,CLSITTRD,,BYX,ETF,FIX,3035
mvea,CARBON,,CARBON,CORE,,CARBON,INDEX,FIX,32
CARBON,CARBON,,CARBON,CORE,IED,CASHDESK,ADR,Phone,13
CARBON,CARBON,,CARBON,DERIV,IED,CBOE-RISK,OPTION,,3
CARBON,CARBON,BGCE,CARBON,CORE,IED,CBOEPULSE_STRAT,STOCK,Phone,7
SORT,CXC,,FIX_DMA,CLSITTRD,,CHIX,STOCK,FIX,18935
CPK,CDRG,,FIX_SWAP,CLSITTRD,,CITMID,ADR,,64
CD,RAZER,,CG_DMA,CLSITTRD,,CORAL,STOCK,FIX,2210
CPK,XEDGA,,FIX_SWAP,CLSITTRD,,CPK,STOCK,,70
CSOM,MVEA,1,FIX_SWAP,CLSITTRD,IED,D1AUTOEX,STOCK,FIX,2
CSOM,D1AUTOEX,3A,FIX_DMA,CLSITTRD,IED,D1AUTOEX,STOCK,FIX,122
KENDA,D1SWING,,,DERIV,,D1AUTOEX,ETF,,82
MSBOC,LIFFE,,FIX_BXS,CLSITTRD,IED,DFE,FUTURE,FIX,4428
RBE,LIFFE,,CG_DMA,CLSITTRD,IED,DFMI,FUTURE,FIX,4069
RBE,AQUIS,,CG_DMA,CLSITTRD,,DKAQX,STOCK,,29951
NV,,,FIX_DMA,CLSITTRD,,DKAQX,ETF,,683
NV,AQUIS,,FIX_BXS,CLSITTRD,,DKAQXPL,ETF,,857
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM57_MMTRADER1,FUND,FIX,13
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM57_MMTRADER1,STOCK,FIX,557
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM57_MMTRADER2,FUND,FIX,4
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM67_MMTRADER5,ETF,FIX,269
MMETL,MMETL,,CG_DMA,CLSITTRD,,78MMRTRCD1_NYPMM60_MMTRADER4,ADR,FIX,3
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM66_MMTRADER5,ETF,FIX,266
MMETL,MMETL,,CG_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM60_MMTRADER5,ADR,,6
MMETL,MMETL,,CG_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM62_MMTRADER5,ADR,,7
RBE,RMBCASH,A2X,FIX_DMA,CLSITTRD,,A2X,ETF,FIX,4
CPK,NYAX,,CG_SWAP,CLSITTRD,,AMEX,ADR,,147
CPK,ARCX,UNKNOWN,FIX_SWAP,CLSITTRD,,ARCA,ETF,,15
SORT,INCR,,CG_DMA,CLSITTRD,,ASPEN,STOCK,FIX,1264989
Passport,Passport,,Passport,CLSITTRD,IED,ATDL_AS_CSH,ETF,Passport,36
CARBON,CARBON,,CARBON,FIDSPG,FID,ATDL_NA_FUT,FUTURE,,15
RBE,AKBANK,,FIX_SWAP,CLSITTRD,,AUTEX,STOCK,FIX,89493
RBE,AUTEX,,FIX_DMA,CLSITTRD,IED,AUTEX,FUTURE,FIX,96706
MOCHA,MS-PT,MOCHA_PASSTHROUGH,FIX_DMA,CLSITTRD,,BATMAN,STOCK,FIX,983
MSBOC,MSBOC,,CG_SWAP,CLSITTRD,,BIVA,ADR,,6
MSSWAT,SORT,,CARBON,LIQUIDRATES,FID,BONDSORT,BOND,,386889
mvea,RBE_PREBCHMK,,FIX_SWAP,CLSITTRD,,BVSP,STOCK,,41
mvea,APT,,FIX_SWAP,CLSITTRD,,BXS,STOCK,FIX,1970
CD,RAZER,,FIX_BXS,CLSITTRD,IED,BXS,STOCK,FIX,22834
CSOM,CSOM,,FIX_BXS,CLSITTRD,IED,BXS_HK,FUTURE,FIX,19721
CARBON,CARBON,J0,CARBON,BUYBACK,IED,CARBON,STOCK,Phone,9
mvea,MMETL,,CARBON,CORE,IED,CASHDESK,STOCK,Phone,1
RBE,CHA_PEG,,PROXIMA,CLSITTRD,,CHA_PEG,ADR,FIX,87
RBE,CHIX,,CG_DMA,CLSITTRD,,CHIX,ETF,,228
RBE,CHIX,,FIX_DMA,CLSITTRD,,CHIX,ADR,,568
SORT,CXC,,BROKER,CLSITTRD,,CHIX,STOCK,FIX,117
NV,,4,CG_DMA,CLSITTRD,,CITADEL,FUND,,4
CD,CME,,CME_DIRECT,CMD,FID,CME,FUTURE,FIX,12
BRIDGE,BRIDGE,,CG_DMA,CLSITTRD,,CORAL,OPTION,FIX,2932
RBE_PREBCHMK,IEDALGO,,CG_DMA,CLSITTRD,,CORAL,OPTION,FIX,387833
SORT,CX2,,FIX_DMA,CLSITTRD,,CX2,FUND,FIX,10
CSOM,D1AUTOEX,A0,FIX_DMA,CLSITTRD,IED,D1AUTOEX,STOCK,FIX,33
CSOM,CSOM,STMM,FIX_DMA,CLSITTRD,IED,D1AUTOEX,STOCK,FIX,277
IEDALGO,D1SWING,,,MSPS,,D1AUTOEX,FUTURE,,1311
NV,,,FIX_DMA,CLSITTRD,,DKAQX,FUND,,1587
NV,,,,ETP,,DKAQX,STOCK,,14727
NV,,,FIX_DMA,CLSITTRD,,DKBATE,FUND,,1353
RBE,CHIX,,FIX_BXS,CLSITTRD,,DKCHIX,ETF,,676
RBE,,,FIX_DMA,CLSITTRD,,DKDXE,STOCK,,2149
NV,CEUX,,FIX_BXS,CLSITTRD,,DKDXEP,STOCK,,2574213
NV,,,FIX_BXS,CLSITTRD,,DKDXEP,STOCK,,2255600
RBE,ENXT,MILAN,,ETP,,DKENXT,STOCK,,16
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM60_MMTRADER2,ADR,FIX,9
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM68_MMTRADER1,STOCK,FIX,688
MMETL,MMETL,,CARBON,CORE,IED,77MMRTRINST1_NYPMM69_MMLISTED1,WARRNT,FIX,3
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM62_MMTRADER4,STOCK,FIX,474
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM65_MMTRADER1,FUND,FIX,18
PT,CARBON,Cash,OMWP,PROGRAMS,IED,AGENCYDESK,STOCK,FIX,64
SORT,AQL,,FIX_SWAP,CLSITTRD,,AQL,STOCK,,2
RBE,,,CG_DMA,CLSITTRD,,AQX,FUND,,6151
SORT,INCR,ASPEN,FIX_BXS,CLSITTRD,,ASPEN,ETF,FIX,319
Passport,CD,,Passport,CLSITTRD,IED,ATDL_AS_CSH,ADR,Passport,3
CARBON,CARBON,,CARBON,DERIV,IED,ATDL_EU_FUT,FUTURE,Phone,2
CARBON,CARBON,,CARBON,DERIV,IED,ATDL_XLON_SORT_TRADING,ETF,,1
CPK,BATS,UNKNOWN,CG_SWAP,CLSITTRD,,BATS,ADR,,810
SORT,BATS,,FIX_DMA,CLSITTRD,,BATS,ETF,FIX,11197
CPK,BCROSS,BCROSS,FIX_SWAP,CLSITTRD,,BCROSS,FUND,,1416
CPK,BIDS,BIDS,CG_SWAP,CLSITTRD,,BIDS,FUND,,26221
SORT,CPK,BIDS,FIX_SWAP,CLSITTRD,,BIDS,STOCK,FIX,53463
